Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IDA only,IDX,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,638330.4721499999,499814.11657,515694.1239400001,556170.1276199999,478308.3307799999,521551.04535999993,505849.67738,569330.20182,577542.6294800002,629803.98149,630866.5400099999,576211.0168899999,620193.8052000001,656876.35584,556038.7651900001,543007.67695,552517.23113,632484.4932300001,551303.8695,565528.8563299999,522470.0,535660.0,552320.0,565490.0,579680.0,593510.0,600390.0,611260.0,631310.0,644010.0,653350.0,655450.0,681860.0,706980.0,716530.0,745010.0,755700.0,778630.0,803130.0,817250.0,841210.0,858300.0,886770.0,911820.0,935000.0,961390.0,981920.0,991790.0,1006000.0,,
IDA total,IDA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,784243.3871499998,648889.90917,673203.76854,722653.0731199997,651986.6977799997,691120.9205599999,682703.5893800003,749807.6823200003,759524.4254800003,831627.1680899996,828945.8722100002,765394.7890900001,819037.3564000002,856903.8580399998,758413.13129,747421.05995,768607.0779300004,854023.8184299999,773921.9106000002,799967.0216300001,825730.0,843700.0,860650.0,908800.0,912700.0,925050.0,932070.0,931300.0,946000.0,963190.0,980550.0,990870.0,1025060.0,1061690.0,1078400.0,1118250.0,1151840.0,1190420.0,1224080.0,1223100.0,1248170.0,1279870.0,1317630.0,1351490.0,1382540.0,1417640.0,1448750.0,1460760.0,1481250.0,,
Late-demographic dividend,LTE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1869742.5539099998,1886403.39402,1961041.7787399995,1975475.1299999994,1999571.8346,2073528.1009,2140802.8002,2152606.9303999995,2200039.852,2208023.623599999,2230554.5218,2203977.5239,2247011.4696,2319767.839700001,2335858.6775999996,2357158.2906,2409355.9478000007,2473241.0083,2511845.4466,2553790.8745,2546750.0,2500030.0,2417910.0,2358900.0,2319370.0,2314490.0,2317220.0,2280890.0,2292560.0,2311210.0,2342660.0,2392070.0,2439300.0,2515190.0,2588520.0,2620130.0,2692540.0,2755510.0,2823560.0,2863330.0,2968480.0,3023350.0,3082990.0,3112840.0,3151300.0,3195480.0,3217390.0,3223600.0,3217690.0,,
Latin America & Caribbean,LCN,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,542609.9226800002,505250.52371999976,537934.6100000001,531346.1188500002,555924.8577000003,582454.11617,621694.1223399999,600258.0846800001,626011.0389199998,644979.54715,674769.5022400002,667801.3140700001,688820.67681,689776.5123300002,671443.5814499999,684377.0406300001,699669.2491699998,736016.37023,725335.65679,739010.60747,754860.0,773950.0,788020.0,802960.0,819600.0,825150.0,824620.0,837950.0,847090.0,853270.0,859970.0,880640.0,906260.0,936290.0,955900.0,963110.0,966870.0,979970.0,995800.0,1001120.0,1006090.0,1006150.0,1009100.0,1009840.0,1026870.0,1042970.0,1048520.0,1051350.0,1049410.0,,
Latin America & Caribbean (excluding high income),LAC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,478851.52450000006,442920.17209999997,474638.24390000006,466137.4280000001,491107.3839000001,518374.3,556843.4609000002,536160.0762,560549.651,576580.9595000001,604029.2784999999,597339.2797000001,617839.4004,620803.3161,602891.1706000002,615246.0803000001,628772.5486999999,662220.9359999999,650228.9104,663946.2593999999,661420.0,676880.0,687590.0,699970.0,713450.0,716670.0,714500.0,726060.0,733570.0,737820.0,742960.0,764560.0,791030.0,821450.0,841550.0,849390.0,852860.0,866380.0,881450.0,887180.0,897840.0,896890.0,895530.0,896380.0,912350.0,928680.0,936090.0,940250.0,938510.0,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,527485.9804,491516.65790000005,524540.2752,517373.1149,542059.2304,568730.1097,607978.9255000001,586571.0525,612208.6324,631042.3584,661235.2642999999,654427.9342,674870.1720000001,676063.074,657388.4887000001,670469.1394000002,685636.8933,722134.9087,711325.0153999998,724598.7999999999,740000.0,759410.0,773560.0,789430.0,805720.0,810950.0,809280.0,822630.0,831750.0,838250.0,844970.0,865770.0,891250.0,921060.0,940990.0,948740.0,952210.0,965210.0,980760.0,985440.0,990520.0,990270.0,993240.0,993950.0,1011050.0,1027630.0,1032980.0,1036180.0,1034140.0,,
Least developed countries: UN classification,LDC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,630531.6465999999,483676.7833,500216.93964,540657.6660299998,462506.16195,505797.47446,487344.57875,550370.59771,561083.03172,617054.58786,612035.7180300001,557525.20068,600337.42362,638092.3181800001,533006.34807,521579.18153,530563.5861000001,611339.6216000001,525888.74076,539590.4825999999,481390.0,488120.0,498940.0,506790.0,515270.0,528590.0,535460.0,546000.0,568170.0,580900.0,590510.0,596490.0,626580.0,655590.0,669350.0,698940.0,711240.0,737720.0,764130.0,780690.0,808080.0,827000.0,857640.0,883560.0,907870.0,935980.0,955170.0,964440.0,975470.0,,
Low & middle income,LMY,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,3586894.7283100006,3440135.0649699997,3625818.1675599986,3655214.4745799997,3602745.2041599993,3723237.726240001,3830378.6657300005,3980991.5460099992,3994465.01658,4123719.0014400017,4148716.8436000007,4059362.09734,4486703.91704,4357361.14411,4205939.930299998,4239045.684169999,4398535.157770002,4672144.225009999,4482310.316980001,4602238.269149998,4943010.0,4921360.0,4862640.0,4864810.0,4841240.0,4859420.0,4887340.0,4860930.0,4897780.0,4957420.0,5014670.0,5077520.0,5170550.0,5312530.0,5413910.0,5503700.0,5626050.0,5758740.0,5884380.0,5909740.0,6045980.0,6132530.0,6204340.0,6257320.0,6324680.0,6393750.0,6472410.0,6514560.0,6544370.0,,
Low income,LIC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,336010.4689999999,254698.29300000003,260696.248,276498.2839999999,240573.35399999996,269196.48399999994,261323.481,294943.246,290963.212,341644.91599999997,337730.897,302656.367,336357.954,328203.93700000003,290857.40200000006,284517.19299999997,282817.09299999994,328788.16500000004,281534.49,306298.70900000003,316490.0,323040.0,330080.0,333510.0,340410.0,346830.0,354250.0,362550.0,377950.0,382080.0,388500.0,389100.0,409600.0,426030.0,434740.0,452260.0,460630.0,480230.0,498850.0,510010.0,527590.0,539010.0,561010.0,576450.0,592390.0,609380.0,625310.0,632550.0,644370.0,,
Lower middle income,LMC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1315078.59691,1249422.3966000003,1362476.2222299997,1364963.5603000002,1319474.7557299996,1332533.92742,1375650.50117,1480941.13669,1451852.8866300003,1497975.6017600002,1493088.1911099998,1452596.1750799997,1793767.4118099997,1617994.42536,1484665.07544,1497468.0373499996,1596738.5027699997,1755649.1674999993,1568420.7298099997,1604243.683800001,1832410.0,1853020.0,1871820.0,1921410.0,1926260.0,1943010.0,1956620.0,1953680.0,1961440.0,1999130.0,2014740.0,2026180.0,2040980.0,2081640.0,2096500.0,2132260.0,2170090.0,2210590.0,2232830.0,2213860.0,2232380.0,2257770.0,2264930.0,2288440.0,2303390.0,2323700.0,2358340.0,2377830.0,2397740.0,,
